,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
141,2,0,0,4,1,0,0,1,39,5
142,1,2,2,2,3,0,0,1,34,1
143,1,0,2,0,1,0,0,1,26,6
144,1,4,0,4,1,1,0,1,45,1
145,1,3,2,2,1,0,0,1,35,2
146,1,0,4,2,4,2,1,1,20,6
147,2,0,0,2,1,0,0,1,43,3
148,2,4,4,1,3,0,0,0,33,6
149,3,4,0,4,1,0,0,0,31,6
150,3,4,0,4,1,0,0,1,42,6
151,1,0,4,2,5,2,0,0,52,6
152,2,2,4,2,3,0,0,0,67,6
153,2,2,4,2,3,0,0,0,64,6
154,2,4,0,1,8,0,0,1,29,6
155,2,4,0,4,1,0,0,0,19,6
156,1,4,0,4,1,2,0,0,86,5
157,2,0,4,4,5,0,0,0,47,6
158,2,4,4,1,8,0,0,1,44,5
159,1,4,4,4,1,2,0,0,5,6
160,1,4,4,0,1,1,0,0,18,6
161,2,4,4,1,1,0,0,1,50,6
162,2,0,0,4,1,0,0,1,52,6
163,2,0,0,4,1,0,0,1,59,2
164,2,2,0,4,1,0,0,1,45,5
165,3,4,0,4,1,0,0,1,26,6
166,3,4,0,4,1,0,0,1,43,6
167,3,4,0,4,1,1,0,0,43,6
168,3,4,0,4,1,0,0,1,37,6
169,3,4,0,4,1,1,0,0,29,6
170,2,1,4,2,1,0,1,1,38,3
171,1,4,0,4,1,1,0,0,86,1
172,2,4,4,2,1,0,0,1,42,6
173,1,0,2,4,1,0,0,0,42,6
174,1,2,0,2,1,1,0,1,21,6
175,3,4,0,4,1,0,0,1,19,6
176,2,0,0,2,1,0,0,1,33,3
177,1,2,0,4,8,1,0,1,45,1
178,2,4,4,4,1,0,0,0,34,6
179,2,0,0,4,1,1,0,1,4,6
180,2,0,0,4,1,1,0,1,3,6
181,1,4,4,4,8,0,0,1,42,3
182,1,4,4,4,1,1,0,0,25,1
183,3,4,0,0,1,0,0,0,50,6
184,3,4,0,0,1,0,1,0,42,6
185,3,4,0,0,1,0,1,1,39,6
186,3,4,0,0,1,1,0,1,1,6
187,2,4,2,4,1,0,0,0,36,6
188,2,4,2,4,1,0,0,1,50,6
189,2,4,0,4,1,0,0,0,34,6
190,2,0,4,4,1,0,0,1,26,6
191,2,0,4,4,1,1,0,0,25,6
192,1,0,0,4,1,1,0,0,65,1
193,1,0,0,4,1,1,0,0,67,1
194,3,4,4,4,1,0,1,1,75,6
195,3,4,4,4,1,0,0,0,24,6
196,1,4,4,2,2,2,1,1,18,6
197,2,4,4,4,1,0,0,0,28,5
198,2,0,4,2,2,0,0,1,25,5
199,1,0,0,4,1,2,0,0,16,6
200,3,4,4,4,1,0,0,0,54,6
201,3,4,4,4,1,1,0,1,43,6
202,2,4,4,2,1,0,0,1,19,5
203,4,0,4,2,2,0,0,0,36,6
204,4,0,4,2,2,0,0,0,46,6
205,4,0,4,2,2,1,1,1,42,6
206,2,2,4,4,1,0,0,0,33,6
207,2,4,4,4,3,0,1,1,59,5
208,2,0,0,4,1,0,0,0,44,6
209,2,0,0,4,1,1,0,1,53,6
210,3,4,0,2,1,1,0,0,20,6
211,3,4,0,2,1,1,0,0,22,6
212,3,4,4,4,1,0,0,1,45,6
213,3,4,4,4,1,0,0,1,32,6
214,3,4,4,4,1,0,0,0,42,6
215,1,4,4,2,0,2,1,1,44,6
216,2,0,4,4,1,0,0,0,37,6
217,2,4,4,2,1,0,1,1,18,3
218,2,4,4,2,1,0,0,1,44,6
219,2,0,0,4,1,0,0,1,40,5
220,2,4,4,2,1,0,1,1,18,3
221,2,0,0,2,1,0,1,1,35,3
222,1,4,0,0,1,2,0,1,32,6
223,2,0,0,2,1,0,0,0,35,4
224,2,0,0,2,1,0,0,0,31,6
225,2,0,0,2,1,1,0,0,23,6
226,2,0,4,2,1,0,0,0,33,6
227,2,0,4,2,1,0,0,1,54,6
228,2,0,0,2,1,0,0,1,23,6
229,5,3,4,2,1,0,0,1,45,6
230,5,3,4,2,1,0,0,1,32,6
231,5,3,4,2,1,0,0,0,49,6
232,2,0,4,4,1,0,0,1,36,6
233,2,4,4,4,1,0,0,0,21,6
234,2,4,4,4,1,1,0,0,18,6
235,1,4,4,1,1,0,0,1,20,6
236,1,4,4,1,1,1,0,1,24,6
237,2,0,0,2,1,0,0,1,49,5
238,1,3,4,2,1,0,0,1,27,6
239,1,3,4,2,1,1,0,0,29,6
240,1,3,4,2,1,1,0,1,38,6
241,1,3,4,2,1,1,1,0,40,6
242,1,2,0,4,1,1,0,0,76,6
243,2,0,0,4,1,0,0,0,44,6
244,2,0,0,2,1,0,1,1,26,6
245,1,0,0,0,1,1,0,1,22,6
246,1,0,0,0,1,1,0,1,21,6
247,2,4,0,4,1,0,0,1,26,6
248,2,4,0,4,1,0,0,1,28,6
249,2,0,4,4,1,0,0,1,32,6
250,2,4,4,4,8,0,0,0,48,6
251,2,4,3,4,7,0,0,1,37,6
252,1,4,3,2,7,1,0,1,4,6
253,1,4,3,4,7,1,0,1,47,6
254,2,0,3,4,6,0,0,1,49,6
255,6,3,2,4,7,0,0,1,22,6
256,2,0,3,2,1,0,0,1,20,6
257,2,0,3,4,7,0,0,1,40,1
258,2,0,3,4,7,1,0,0,17,1
