,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
617,2,0,0,4,1,0,0,1,24,6
618,2,2,0,4,1,0,1,1,19,3
619,1,4,0,4,1,2,1,0,60,6
620,2,0,0,4,1,0,0,1,25,5
621,2,0,0,4,1,0,0,1,35,3
622,2,0,0,4,1,0,0,1,18,6
623,2,0,0,4,1,0,0,1,54,6
624,2,0,0,4,1,1,0,0,23,1
625,2,0,0,4,1,1,0,1,45,1
626,1,0,4,2,1,2,0,1,47,6
627,2,4,0,4,1,0,0,0,42,6
628,2,4,0,4,1,1,0,0,1,6
629,2,4,0,4,1,1,0,0,16,6
630,2,4,0,4,1,1,0,0,33,6
631,2,4,0,4,1,1,0,1,44,6
632,1,0,0,4,0,1,0,0,32,1
633,2,0,0,4,1,0,0,1,27,6
634,4,4,0,4,1,0,0,0,25,6
635,4,4,0,4,1,1,0,0,18,1
636,4,4,0,4,1,1,0,0,31,6
637,2,0,0,4,1,0,0,1,43,6
638,1,0,0,4,1,2,0,0,14,6
639,1,4,4,4,4,2,0,1,44,6
640,2,4,0,4,1,0,0,1,51,6
641,2,4,0,4,1,1,0,0,28,6
642,2,4,0,4,1,1,0,0,6,6
643,2,4,0,4,1,0,0,0,32,6
644,2,4,0,4,1,0,0,1,48,6
645,2,4,4,2,5,0,0,1,18,6
646,2,0,0,4,1,0,0,1,24,6
647,2,0,0,4,1,1,0,0,22,6
648,2,0,0,4,1,1,0,0,5,6
649,2,0,0,4,1,1,0,0,2,6
650,2,4,0,4,1,0,0,0,39,6
651,1,4,0,4,1,2,0,0,14,6
652,1,4,0,4,1,2,0,0,13,6
653,2,4,0,4,1,0,0,1,29,5
654,3,0,4,4,4,0,0,0,75,6
655,3,0,4,4,4,1,0,0,49,6
656,1,4,0,4,1,2,0,1,11,6
657,2,4,4,4,1,0,0,0,36,6
658,2,4,4,4,1,0,0,1,21,6
659,1,4,4,2,1,2,0,0,21,6
660,1,4,4,2,1,2,0,0,20,6
661,1,0,0,4,1,1,0,0,26,1
662,1,4,0,4,1,2,0,1,14,1
663,2,4,4,2,5,1,0,0,30,6
664,2,4,4,2,5,1,0,0,31,6
665,3,0,4,4,5,0,0,0,47,6
666,3,0,4,4,5,0,0,0,22,6
667,3,0,4,4,5,1,0,1,11,6
668,3,0,4,4,5,1,0,1,55,6
669,2,0,4,4,4,0,0,1,40,6
670,2,0,4,4,4,1,0,0,40,6
671,2,0,4,4,4,1,0,1,29,6
672,2,0,4,4,4,1,0,1,35,6
673,1,0,0,1,1,1,0,1,46,6
674,1,4,0,4,1,2,1,1,13,6
675,2,4,0,2,1,1,0,1,33,6
676,2,4,0,4,1,0,1,1,17,3
677,1,0,0,4,1,0,0,1,60,6
678,1,4,0,4,1,1,0,1,40,1
679,2,4,0,4,1,0,0,1,17,5
680,2,4,0,4,1,0,0,1,13,5
681,1,4,0,4,1,2,1,1,15,3
682,2,0,0,4,1,0,0,1,33,6
683,2,0,0,4,1,1,0,0,68,6
684,2,0,0,4,1,0,0,1,12,5
685,2,0,0,4,1,0,1,1,20,6
686,2,4,4,2,1,0,0,1,35,6
687,2,4,4,2,1,1,0,0,25,6
688,2,4,4,2,1,1,0,1,45,6
689,2,4,4,2,1,1,0,0,48,6
690,2,4,4,2,1,1,0,0,46,6
691,2,4,0,4,1,0,0,0,22,6
692,2,4,0,4,1,0,0,0,31,6
693,2,4,0,4,1,1,0,0,9,6
694,2,4,0,4,1,1,0,0,1,6
695,1,4,0,4,1,0,1,1,48,3
696,1,4,0,4,1,2,0,0,6,6
697,2,4,0,4,1,0,0,0,56,6
698,2,4,0,4,1,1,0,0,61,6
699,2,0,0,4,1,0,0,0,24,5
700,2,4,0,4,1,1,0,0,35,6
701,1,4,0,4,1,2,0,1,9,6
702,2,2,0,2,1,0,0,1,56,3
703,2,2,0,2,1,1,1,0,30,3
704,1,0,0,4,1,2,0,1,61,1
705,2,0,0,2,1,0,0,1,24,6
706,2,0,0,2,1,0,0,1,46,6
707,2,0,0,2,1,1,0,1,24,6
708,2,0,0,2,1,1,0,0,45,6
709,2,0,0,2,1,1,0,0,38,6
710,2,0,0,2,1,0,0,0,65,6
711,2,0,0,2,1,1,0,1,55,6
712,4,3,0,4,1,0,0,0,38,6
713,4,3,0,4,1,0,0,1,23,6
714,1,4,0,4,1,2,0,0,11,6
715,2,0,0,4,1,0,0,1,46,3
716,1,4,0,4,1,0,0,1,25,6
717,2,4,0,4,1,0,0,0,9,5
718,2,0,0,4,1,0,0,1,59,3
719,2,0,0,4,1,1,0,0,59,3
720,2,2,0,4,1,0,1,0,12,5
721,1,4,0,4,1,2,0,1,7,6
722,1,4,4,1,1,0,0,1,20,6
723,3,4,0,4,1,0,0,1,25,5
724,1,0,0,4,1,2,1,1,26,6
725,2,0,0,4,1,0,0,1,46,3
726,2,0,0,4,1,0,0,1,24,6
727,2,0,0,4,1,1,0,0,24,6
728,2,0,0,4,1,1,0,1,30,6
729,2,0,0,4,1,1,0,0,26,6
730,2,0,0,4,1,1,0,1,21,6
731,1,4,0,2,1,1,0,1,21,1
732,2,0,0,4,1,0,0,1,46,3
733,1,4,0,4,1,0,0,1,17,6
734,1,4,0,4,1,1,0,1,18,6
735,2,4,4,2,5,0,0,1,29,5
736,3,0,4,4,5,1,0,0,55,6
737,2,4,0,4,1,0,0,1,20,6
738,2,4,0,4,1,1,0,1,18,6
739,2,0,0,4,1,0,0,0,24,6
740,2,0,0,4,1,0,0,1,36,6
741,2,0,0,4,1,0,0,0,56,6
742,2,0,4,4,5,0,0,1,72,6
743,2,0,4,4,5,0,0,1,28,6
744,2,0,4,2,1,0,0,1,39,5
745,1,4,0,4,1,2,0,0,79,6
746,2,1,0,2,1,0,0,1,54,6
747,1,4,0,4,1,2,0,1,12,6
748,2,1,0,4,1,0,0,0,50,6
749,2,1,0,4,1,0,0,1,32,6
750,2,4,0,4,1,0,0,0,32,6
751,2,0,0,4,1,1,0,0,75,2
752,2,4,0,4,1,0,0,0,27,6
753,1,2,0,4,1,2,1,1,23,6
754,2,4,4,4,5,0,0,1,77,6
755,2,4,4,4,5,0,0,0,45,6
756,1,0,0,4,1,2,0,1,19,3
757,2,4,0,1,1,0,0,1,54,6
758,2,4,0,1,1,0,0,1,20,6
759,1,0,4,2,5,0,0,1,18,3
760,1,4,0,2,1,2,0,1,45,1
761,2,0,0,4,1,0,0,1,59,6
762,1,0,0,4,1,1,0,0,60,1
763,1,0,0,4,1,1,0,0,10,1
764,1,4,0,4,1,2,0,0,37,6
765,3,1,0,4,1,0,0,0,45,6
766,3,1,0,4,1,0,0,0,45,6
767,2,0,0,4,1,1,0,0,59,6
768,2,0,0,4,1,0,0,0,24,6
769,2,4,0,4,1,0,0,1,20,6
770,2,4,0,4,1,1,0,0,19,6
771,2,0,0,2,1,0,0,1,21,6
772,2,0,0,2,1,0,1,1,50,6
773,2,0,0,2,1,1,1,0,49,6
774,1,4,0,4,1,2,0,1,9,6
775,2,4,0,4,1,1,0,0,62,6
776,2,4,0,4,1,2,0,0,45,6
777,2,4,0,4,1,1,0,1,17,6
778,2,4,0,4,1,1,0,1,17,6
779,2,0,0,2,1,0,0,1,27,6
780,2,0,0,2,1,1,0,1,15,6
781,2,0,0,2,1,1,0,1,18,6
782,2,0,0,2,1,1,0,1,22,6
783,1,4,0,4,1,1,0,0,22,1
784,1,4,0,4,1,1,0,1,21,1
785,2,4,0,4,1,1,0,1,20,6
786,2,4,0,2,1,0,0,0,45,6
787,2,3,0,4,1,0,0,1,64,6
788,2,4,0,4,1,0,0,1,20,5
789,2,4,0,4,1,1,0,1,66,6
790,1,4,0,4,1,2,0,1,6,6
791,2,0,0,2,1,0,0,0,63,6
792,2,0,0,2,1,0,0,0,49,6
793,2,0,0,2,1,1,1,1,73,6
794,2,0,0,2,1,1,0,0,49,6
795,2,4,0,4,1,0,0,1,58,3
796,2,4,0,4,1,0,0,1,38,5
797,3,4,0,4,1,0,0,1,23,6
798,3,4,0,4,1,0,0,1,19,6
799,3,4,0,4,1,0,0,1,50,6
800,1,4,0,4,1,2,1,0,74,6
801,2,2,0,4,1,0,0,1,23,6
802,2,2,0,4,1,1,0,0,19,6
803,2,0,0,4,1,0,0,1,64,2
804,1,0,0,4,1,1,0,0,8,1
805,6,1,0,4,1,0,0,1,28,6
806,6,1,0,4,1,0,0,1,37,6
807,6,1,0,4,1,0,0,1,30,6
808,6,1,0,4,1,0,0,1,25,6
809,6,1,0,4,1,0,0,1,46,6
810,6,1,0,4,1,1,0,0,28,6
811,2,0,0,4,1,0,0,0,58,6
812,1,4,0,4,1,1,0,0,78,1
813,1,2,0,4,1,2,1,1,84,6
814,2,4,4,2,1,0,0,1,25,5
815,2,4,0,4,1,0,1,1,58,5
816,2,2,0,2,1,0,0,1,44,6
817,2,2,0,2,1,0,0,1,30,6
818,2,0,0,4,1,1,0,1,43,2
819,2,4,0,0,1,0,0,1,18,6
820,2,4,0,0,1,1,0,1,18,6
821,2,4,0,0,1,1,0,0,16,6
822,2,4,0,0,1,1,0,1,17,6
823,1,4,0,4,1,2,1,1,35,6
824,2,4,0,4,1,1,0,1,35,6
825,1,4,0,4,1,2,0,1,32,2
826,2,0,0,4,1,0,0,0,64,6
827,2,0,0,4,1,1,0,0,38,6
828,2,4,0,4,1,0,0,1,41,6
829,1,0,0,4,1,2,0,1,12,6
830,1,4,0,4,1,2,0,0,6,6
831,1,4,0,4,1,2,0,0,12,6
832,2,4,0,4,1,0,0,0,25,6
833,2,4,0,4,1,1,0,0,36,6
834,2,4,0,4,1,1,0,0,35,6
835,2,4,0,4,1,1,0,0,22,6
836,2,0,0,4,1,0,0,1,77,6
837,3,4,0,4,1,0,0,1,6,5
838,2,4,0,4,1,0,0,0,31,6
839,2,2,0,4,1,0,0,1,61,5
840,2,0,0,4,1,0,0,0,53,6
841,1,4,0,4,1,2,0,1,10,6
842,2,4,0,4,1,0,0,1,53,2
843,2,4,0,4,1,1,0,1,15,6
844,2,4,0,4,1,1,0,1,14,6
845,2,0,0,4,1,0,0,0,63,6
846,2,0,0,4,1,1,0,1,19,6
847,2,0,0,4,1,1,0,1,21,6
848,2,0,0,4,1,1,0,0,18,6
849,2,4,0,4,1,0,0,1,28,6
850,2,4,0,4,1,1,0,0,28,6
851,2,0,0,4,1,0,0,0,29,5
852,1,0,0,4,1,0,0,1,19,3
853,1,0,0,4,1,1,0,1,22,3
854,1,0,0,4,1,2,1,0,66,3
855,2,0,0,4,1,0,1,1,38,3
856,2,4,0,4,1,0,0,0,37,6
857,2,2,0,4,1,0,0,1,47,5
858,2,4,0,4,1,1,0,0,81,6
859,2,4,0,4,1,1,0,1,82,6
860,2,4,0,4,1,1,0,0,78,6
861,2,4,0,4,1,0,0,1,33,5
862,3,0,0,4,1,0,0,1,50,6
863,1,4,0,4,1,1,0,0,70,1
864,3,4,0,4,1,0,0,1,30,5
865,2,0,0,4,1,0,0,1,44,5
866,3,4,0,4,1,0,0,0,72,6
867,3,4,0,4,1,1,0,0,18,6
868,1,4,0,4,1,1,0,0,77,1
869,2,4,0,4,1,0,0,1,40,6
870,2,2,0,2,1,0,1,1,25,5
871,2,4,0,2,1,0,0,0,21,6
872,2,0,0,4,1,0,0,0,34,6
873,2,0,0,4,1,1,0,0,53,6
874,2,0,0,4,1,0,0,1,50,6
875,1,4,0,4,1,2,0,0,1,6
876,3,0,0,4,1,0,0,0,26,6
877,3,0,0,4,1,0,1,0,37,6
878,3,0,0,4,1,1,0,0,5,6
879,3,0,0,4,1,1,0,1,2,6
880,1,4,0,2,1,0,1,1,17,3
881,1,4,0,2,1,1,1,1,17,3
882,1,0,0,4,1,1,0,0,60,1
883,1,4,0,4,1,1,0,0,71,1
884,2,4,0,4,1,1,0,0,30,6
885,2,4,0,2,1,0,1,1,15,3
886,2,0,0,4,1,0,0,1,23,3
887,2,0,0,4,1,0,0,1,36,6
888,2,0,0,4,1,0,0,1,51,6
889,2,3,0,1,1,0,0,1,52,2
890,3,0,0,4,1,0,1,1,39,6
891,3,0,0,4,1,0,0,1,34,6
892,3,0,0,4,1,1,1,1,16,6
893,3,0,0,4,1,1,1,1,12,6
894,3,0,0,4,1,1,1,0,7,6
895,2,4,0,4,1,0,0,1,32,6
896,2,4,0,4,1,1,0,1,11,6
897,2,4,0,1,1,0,0,1,37,6
898,1,0,0,2,1,2,0,1,36,6
899,1,3,0,2,1,0,0,1,25,3
900,2,0,0,4,1,0,0,0,31,6
901,2,4,0,4,1,0,0,1,6,5
902,4,0,0,2,1,0,0,1,36,6
903,4,0,0,2,1,0,0,0,28,6
904,4,0,0,2,1,1,0,0,31,6
905,2,0,0,4,1,0,1,1,45,3
906,2,0,0,4,1,0,0,0,33,6
907,2,0,0,4,1,1,0,0,29,6
908,2,0,0,2,1,0,0,1,18,6
909,2,4,0,2,1,0,0,1,48,6
910,2,4,0,2,1,0,0,1,23,6
911,1,4,0,4,1,2,0,0,18,6
912,1,3,0,4,1,0,0,1,26,6
913,1,3,0,4,1,1,0,0,24,6
914,2,3,0,4,1,0,0,1,21,6
915,1,4,0,4,1,1,0,1,5,1
916,2,4,4,4,5,1,0,0,20,2
917,1,4,0,4,8,1,0,1,45,1
918,2,0,0,4,1,0,0,1,23,6
919,2,0,4,4,5,0,0,1,46,6
920,2,0,4,4,5,0,0,0,52,6
921,2,0,4,4,5,1,0,0,26,6
922,2,0,4,4,5,1,0,0,18,6
923,1,3,0,4,1,0,0,0,32,6
924,2,0,0,4,1,0,0,1,23,5
925,1,1,4,4,5,0,0,1,64,6
926,2,0,4,4,5,0,0,1,20,5
927,2,4,0,4,1,0,0,1,50,6
928,2,0,4,4,5,0,0,1,15,5
929,2,1,0,4,1,0,0,0,67,6
930,2,0,0,4,8,1,0,0,51,5
931,1,4,4,4,5,0,0,1,32,6
932,2,4,0,4,1,1,1,1,16,3
933,2,4,0,4,1,1,1,1,18,6
934,2,0,0,4,1,0,0,0,23,5
935,2,0,0,2,1,0,0,1,50,6
936,1,4,0,4,1,2,0,1,43,6
937,3,0,0,4,1,0,0,0,61,6
938,2,4,0,4,1,0,0,1,78,4
939,1,4,0,4,1,2,0,1,12,1
940,1,4,0,4,1,2,0,1,45,6
941,2,0,4,4,1,0,0,1,29,6
942,2,0,4,4,1,0,0,0,48,6
943,1,0,0,4,1,2,0,0,14,6
944,1,0,4,4,1,1,0,1,19,6
945,1,4,0,4,1,2,0,0,11,6
946,2,1,0,4,1,0,0,1,68,6
947,2,1,0,4,1,1,0,0,67,6
948,1,2,0,4,1,2,0,1,16,6
949,3,4,0,4,1,2,1,1,34,6
950,3,4,0,4,1,2,0,0,24,6
951,1,0,4,2,1,0,0,1,30,6
952,2,0,0,4,1,0,1,0,46,3
953,2,0,0,4,1,0,0,0,62,6
954,2,1,0,4,1,0,0,0,50,6
955,2,1,0,4,1,1,0,1,16,6
956,2,4,0,4,1,0,0,0,75,6
957,2,4,0,4,1,0,0,1,26,5
958,2,4,0,4,1,0,0,0,34,6
959,2,4,0,4,1,0,0,1,17,6
960,2,4,0,4,1,1,0,1,16,6
961,2,4,0,4,1,0,0,0,60,6
962,2,4,0,4,1,0,0,0,41,6
963,2,4,0,4,1,1,0,1,16,6
964,2,0,0,4,1,0,0,1,24,6
965,1,4,0,4,1,2,1,1,26,1
966,2,4,0,4,1,0,0,1,74,5
967,2,0,0,4,1,0,0,0,22,6
968,2,0,0,4,1,1,0,1,23,6
969,2,4,0,4,1,0,0,1,33,6
970,1,0,0,2,1,0,0,1,20,6
971,1,4,0,4,1,0,0,0,25,6
972,2,0,0,4,1,0,1,1,18,3
973,2,0,0,4,1,0,0,0,23,6
974,2,4,0,4,1,0,0,0,60,6
975,2,0,4,4,5,1,0,0,61,6
976,1,4,0,4,1,2,1,1,25,4
977,1,4,0,4,1,2,1,0,38,4
978,2,0,0,4,1,0,0,0,44,6
979,2,0,0,4,1,0,0,0,36,6
980,3,4,0,2,1,0,0,1,29,6
981,1,0,4,2,1,0,0,0,18,6
982,1,0,4,2,1,1,0,0,18,6
983,1,4,4,4,1,2,0,1,57,6
984,2,4,0,4,1,0,0,1,19,6
985,2,0,4,4,1,0,0,1,20,3
986,2,4,0,4,1,0,0,0,24,6
987,2,4,0,4,1,1,0,1,2,6
988,2,0,4,4,5,0,0,1,34,6
989,2,0,4,4,5,1,0,1,22,6
990,1,4,4,4,3,2,0,0,12,6
991,2,0,4,4,5,0,0,1,52,6
992,2,0,4,4,5,1,0,0,19,6
993,1,4,0,4,1,2,0,0,15,6
994,1,4,0,4,1,2,1,0,36,6
995,1,4,0,4,1,2,1,1,6,6
996,2,4,0,4,1,1,0,0,21,6
997,2,4,0,4,1,0,0,0,38,6
998,2,0,0,4,1,0,0,1,32,5
999,1,2,4,2,1,0,0,1,26,6
1000,1,0,0,4,1,1,0,1,68,1
1001,1,4,0,4,1,2,0,1,5,6
1002,1,4,0,4,1,2,0,1,12,6
1003,2,0,0,4,1,0,0,0,17,6
1004,2,0,0,4,1,0,0,0,58,6
1005,2,0,0,4,1,0,0,1,37,6
1006,2,4,0,4,1,0,0,1,26,6
1007,2,4,0,4,1,0,0,1,45,6
1008,3,0,0,4,1,0,0,0,18,6
1009,3,0,0,4,1,1,0,1,23,6
1010,2,3,0,4,1,0,0,1,19,6
1011,2,4,0,4,1,0,0,1,40,5
1012,2,4,4,4,3,0,0,1,21,6
1013,2,4,4,4,3,0,0,1,33,6
1014,2,4,4,4,3,1,0,1,23,6
1015,1,0,0,4,1,0,1,1,36,2
1016,2,2,0,2,1,0,0,1,29,6
1017,2,4,0,4,1,0,0,0,36,6
1018,2,4,0,4,1,0,0,1,24,6
1019,2,4,0,4,1,1,0,1,50,6
1020,2,4,0,4,1,1,0,0,23,6
1021,2,4,0,4,1,1,0,0,44,6
1022,1,4,0,2,1,2,0,0,28,6
1023,2,4,0,4,1,0,1,1,15,5
1024,2,4,0,1,1,0,0,1,20,5
1025,1,2,0,4,1,2,0,1,12,6
1026,1,0,0,1,1,0,0,1,34,6
1027,1,0,0,1,1,1,0,1,31,6
1028,3,4,0,4,1,0,0,1,19,6
1029,1,0,0,4,1,2,0,0,58,6
1030,4,1,0,4,1,0,0,1,41,6
1031,4,1,0,4,1,0,0,1,41,6
1032,4,1,0,4,1,1,0,0,56,6
1033,3,4,0,4,1,0,0,1,60,6
1034,2,0,0,4,1,0,0,1,12,5
1035,1,4,0,4,1,2,1,1,13,6
1036,2,4,0,4,1,0,0,1,47,5
1037,1,4,0,4,1,1,0,0,67,1
1038,2,0,0,4,1,1,0,0,11,6
1039,1,0,0,4,1,1,0,1,34,1
1040,1,0,0,2,1,0,0,1,22,6
1041,2,0,0,4,1,0,0,1,37,3
1042,2,4,0,4,1,0,0,1,25,6
1043,2,4,0,4,1,0,0,1,17,5
1044,1,0,0,4,1,2,0,1,18,1
1045,2,0,0,4,1,0,0,0,24,6
1046,2,0,0,4,1,1,0,0,24,6
1047,2,0,0,4,1,0,0,0,20,6
1048,2,4,0,4,1,0,0,0,38,6
1049,2,4,0,4,1,0,0,0,31,3
1050,1,4,0,4,1,2,0,0,25,6
1051,2,0,0,4,1,0,0,0,55,6
1052,2,0,0,4,1,0,0,1,40,6
1053,2,0,0,4,1,0,0,1,30,6
1054,2,0,0,4,1,0,0,1,27,5
1055,2,0,0,4,1,1,0,1,18,6
1056,2,0,0,4,1,1,0,1,30,6
1057,1,4,0,4,1,1,0,0,16,1
1058,2,4,0,2,1,1,0,1,46,2
1059,2,4,0,2,1,1,0,0,18,6
1060,2,4,0,2,1,1,0,1,20,6
1061,2,0,4,4,5,0,0,0,19,6
1062,2,0,4,4,5,1,0,1,23,6
1063,1,4,4,4,5,1,0,1,29,1
1064,2,4,0,4,1,0,0,1,51,6
1065,2,4,4,4,1,0,0,0,47,6
1066,2,4,4,4,1,1,0,1,21,6
1067,2,4,4,4,1,1,0,0,14,6
1068,3,1,4,4,5,0,0,1,79,6
1069,1,4,4,4,1,0,0,1,17,3
1070,2,4,4,4,5,0,0,1,45,6
1071,2,4,4,4,5,0,0,0,30,6
1072,2,4,4,4,5,1,0,1,32,6
1073,2,4,4,4,5,1,0,1,31,6
1074,2,4,4,4,5,1,0,0,8,6
1075,2,4,4,4,5,0,0,0,19,6
1076,2,4,4,4,5,0,0,0,66,6
1077,2,2,4,4,5,0,0,1,27,6
1078,2,2,4,4,5,1,0,0,24,6
1079,2,0,4,4,5,1,0,1,46,6
1080,1,3,1,4,5,0,0,0,24,6
1081,1,3,1,4,5,1,0,0,54,6
1082,2,4,4,4,1,0,0,1,35,6
1083,2,1,0,4,1,0,0,1,22,6
1084,1,4,4,4,8,1,0,1,65,1
1085,1,4,0,4,8,1,1,0,69,1
1086,2,4,4,4,1,0,0,1,43,6
1087,2,4,4,4,1,0,0,0,40,6
1088,2,4,4,4,1,0,0,1,16,5
1089,1,4,4,4,5,1,0,0,65,1
1090,1,4,0,1,1,1,0,1,62,6
1091,2,0,4,4,5,0,0,1,24,6
1092,1,4,4,4,1,2,0,1,46,6
1093,2,4,0,4,1,0,0,0,38,6
1094,2,4,0,4,1,0,1,1,31,3
1095,2,2,0,4,1,0,0,1,59,5
1096,2,0,0,4,1,0,0,1,35,6
1097,2,0,0,4,1,1,0,0,35,6
1098,2,0,0,4,1,0,0,0,75,6
1099,6,3,0,4,1,0,1,1,50,2
1100,6,3,0,4,1,0,0,1,44,2
1101,6,3,0,4,1,0,1,1,56,2
1102,6,3,0,4,1,0,0,1,29,2
1103,6,3,0,4,1,1,1,1,35,2
1104,6,3,0,4,1,1,1,1,55,2
1105,6,3,0,4,1,1,1,1,35,2
1106,3,4,4,4,4,0,0,0,28,6
1107,3,4,4,4,4,0,0,1,19,6
1108,3,4,4,4,4,1,0,0,30,6
1109,2,4,4,4,3,0,0,1,33,6
1110,2,4,4,4,1,0,0,0,33,6
1111,1,4,4,4,1,2,0,0,14,6
1112,2,4,4,4,1,1,0,1,11,6
1113,2,4,4,4,1,1,0,0,33,6
1114,2,4,4,4,1,1,0,0,78,6
1115,1,4,4,4,5,2,0,1,72,3
1116,2,4,4,2,4,0,0,1,36,2
1117,2,4,4,4,1,1,0,0,41,6
1118,2,4,0,4,1,0,0,1,9,5
1119,2,4,0,4,1,1,0,0,15,6
1120,2,4,0,4,1,1,0,0,30,6
1121,1,4,0,4,1,2,1,0,11,6
1122,2,4,0,4,1,0,0,1,42,3
1123,2,2,0,4,1,0,0,1,40,5
1124,2,4,0,0,1,0,0,0,18,6
1125,1,4,0,4,1,0,0,1,23,1
1126,1,4,0,4,1,1,0,1,34,1
1127,2,4,0,4,1,0,0,1,40,6
1128,2,4,0,4,1,1,0,1,4,6
1129,1,4,0,4,1,2,0,1,7,6
1130,2,0,0,4,1,0,0,0,24,6
1131,2,0,0,4,1,1,1,1,50,6
1132,2,0,0,4,1,1,0,0,22,6
1133,1,4,0,4,1,2,0,1,69,2
1134,1,0,0,4,1,1,0,0,68,1
1135,1,4,0,4,1,2,1,1,68,1
1136,2,4,0,4,1,1,0,0,43,6
1137,3,3,0,1,1,0,0,0,25,6
1138,1,4,0,4,1,2,0,0,35,6
1139,1,4,0,4,1,2,1,0,93,6
1140,1,4,0,4,1,2,0,0,74,6
1141,1,4,0,4,1,2,0,0,70,2
1142,2,4,0,4,1,0,0,1,50,6
1143,1,2,0,4,1,2,0,1,17,6
1144,2,0,0,4,1,0,0,1,26,6
1145,2,0,0,4,1,0,0,1,23,6
1146,2,0,0,4,1,0,0,0,19,6
1147,3,0,0,4,1,0,0,1,21,6
1148,3,0,0,4,1,1,0,1,21,6
1149,3,0,0,4,1,1,0,1,19,6
1150,2,4,0,4,1,0,0,1,19,3
1151,2,4,0,4,1,0,0,0,44,6
1152,5,4,0,2,1,0,1,1,29,6
1153,2,0,0,4,1,0,0,1,43,5
1154,2,0,0,4,1,0,0,1,20,5
1155,2,4,0,4,1,1,0,1,25,1
1156,2,4,0,4,1,1,0,0,43,1
1157,2,4,0,4,1,1,0,0,51,1
1158,3,4,0,2,1,0,1,1,19,6
1159,1,4,0,4,1,2,0,0,18,6
1160,1,4,0,4,1,2,0,1,61,6
1161,2,2,0,4,1,0,0,0,18,6
1162,1,4,0,4,1,2,0,0,8,6
1163,2,4,0,4,1,0,1,1,10,5
1164,3,0,0,4,1,0,0,0,38,6
1165,3,0,0,4,1,1,0,0,20,6
1166,2,4,0,2,1,1,0,1,16,3
1167,2,4,0,2,1,1,0,0,37,6
1168,2,4,0,2,1,1,0,0,14,6
1169,1,4,0,4,1,2,0,0,2,6
1170,2,0,0,4,1,0,0,1,17,3
1171,1,0,0,4,1,1,0,0,84,1
1172,1,4,0,4,1,1,0,0,39,1
1173,2,4,0,4,1,0,0,0,59,6
1174,2,4,0,4,1,0,0,0,47,6
1175,1,4,0,4,1,1,0,1,19,6
1176,1,4,0,4,1,1,1,1,19,6
1177,1,4,0,4,1,2,0,0,13,6
1178,1,0,0,4,1,1,0,0,23,1
1179,1,4,0,4,1,2,0,1,10,6
1180,1,0,0,4,1,2,0,1,43,6
1181,3,0,0,4,1,0,1,1,18,5
1182,1,4,0,4,1,2,0,0,18,5
1183,2,4,0,4,1,0,0,1,21,6
1184,2,4,0,4,1,1,0,1,19,6
1185,2,4,0,4,1,1,0,1,22,6
1186,2,4,0,4,1,1,0,0,18,6
1187,2,4,0,4,1,0,0,0,32,6
1188,1,0,0,4,1,2,0,0,17,6
1189,2,4,0,4,1,1,0,0,14,6
1190,2,2,0,4,1,0,0,1,48,6
1191,2,2,0,4,1,1,0,0,14,6
1192,2,2,0,4,1,1,0,0,47,6
1193,1,4,0,4,1,2,0,1,4,6
1194,2,1,0,4,1,0,0,1,43,3
1195,2,1,0,4,1,0,0,1,29,6
1196,2,0,0,4,1,0,1,1,45,3
1197,2,0,0,4,1,1,0,0,34,3
1198,1,0,0,4,1,2,0,0,38,6
1199,2,0,0,4,1,0,0,0,41,6
1200,2,0,0,4,1,1,0,1,29,6
1201,1,4,0,4,1,1,0,1,79,1
1202,2,0,0,4,1,0,0,1,18,3
1203,2,0,0,1,1,0,0,1,18,6
1204,3,0,0,4,1,0,0,1,53,6
1205,3,0,0,4,1,1,0,0,52,6
1206,2,4,0,4,1,0,0,1,27,6
1207,2,4,0,4,1,0,0,1,49,6
1208,2,4,0,4,1,0,0,1,88,6
1209,2,4,0,4,1,0,0,1,74,6
1210,2,4,0,4,1,1,0,0,84,6
1211,2,4,0,4,1,1,0,0,72,6
1212,1,4,0,4,1,2,0,1,10,6
1213,2,0,0,4,1,0,0,1,38,3
1214,1,3,0,4,1,0,0,1,20,6
1215,1,4,0,4,1,2,0,0,37,6
1216,1,1,0,0,1,0,0,1,38,6
1217,1,1,0,0,1,1,1,1,29,6
1218,2,4,0,4,1,0,0,1,28,3
1219,1,4,0,4,1,2,0,1,32,5
1220,1,4,0,4,1,0,0,1,26,5
1221,2,0,0,4,1,0,0,1,23,6
1222,2,4,0,4,1,1,1,1,18,3
1223,2,0,0,4,1,0,0,1,31,6
1224,1,4,0,2,1,2,0,1,23,6
1225,2,0,0,4,1,0,1,1,32,5
1226,1,0,0,4,1,1,0,1,38,1
1227,1,0,0,4,1,0,1,1,26,3
1228,1,4,0,2,1,2,0,1,22,6
1229,2,0,0,4,0,1,0,0,75,1
1230,2,4,0,4,1,0,0,1,33,5
1231,2,4,0,4,1,0,0,0,20,3
1232,1,4,0,4,1,2,1,0,8,6
1233,2,4,0,4,1,0,0,1,51,5
1234,2,0,0,4,1,0,0,1,57,6
1235,2,0,0,4,1,0,0,0,55,6
1236,2,0,0,4,1,1,0,0,63,6
1237,2,4,0,4,1,0,0,1,39,5
